NOME;CH;CP;CR
CONCEITOS DE BIG DATA;32;24;8
CIENCIA DE DADOS;32;24;8
BANCOS DE DADOS PARA BIG DATA;40;32;8
ARQUITETURA DE BIG DATA E ANALYTICS;40;32;8
PROJETO DATA LAKE DESIGN, ARQUITETURA E INTEGRACAO;24;24;0
CONEXCAO COM O MERCADO I;8;0;8
TECNICAS PARA PROCESSAMENTO E ANALISE DE BIG DATA;40;32;8
ANALISE DE INFORMACOES POR MEIO DE BI E ANALYTICS;40;32;8
GESTAO DO BIG DATA;32;24;8
ESTRATEGICAS E TENDENCIAS TECNOLOGICAS DO BIG DATA;40;32;8
PROJETO TRANSFORMACAO DIGITAL COM BIG DATA;24;0;24
CONEXAO COM O MERCADO II;8;0;8
