GADE,Game,Platform,Hours,Narcissism,Gender,Work,Degree,GAD_T,SWL_T,SPIN_T
Not difficult at all,Skyrim,"Console (PS, Xbox, ...)",15.0,1.0,Male,Unemployed / between jobs,Bachelor (or equivalent),1,23,5.0
Somewhat difficult,Other,PC,8.0,1.0,Male,Unemployed / between jobs,Bachelor (or equivalent),8,16,33.0
Not difficult at all,Other,PC,0.0,4.0,Female,Employed,Bachelor (or equivalent),8,17,31.0
Not difficult at all,Other,PC,20.0,2.0,Male,Employed,Bachelor (or equivalent),0,17,11.0
Very difficult,Other,"Console (PS, Xbox, ...)",20.0,1.0,Male,Employed,High school diploma (or equivalent),14,14,13.0
Not difficult at all,Other,"Console (PS, Xbox, ...)",4.0,2.0,Male,Employed,Bachelor (or equivalent),1,17,13.0
Not difficult at all,Other,PC,30.0,2.0,Male,Employed,High school diploma (or equivalent),0,16,26.0
,Other,"Console (PS, Xbox, ...)",25.0,5.0,Female,Employed,Bachelor (or equivalent),0,23,
Very difficult,Other,"Console (PS, Xbox, ...)",2.0,1.0,Female,Employed,Bachelor (or equivalent),12,12,55.0
Somewhat difficult,World of Warcraft,PC,25.0,1.0,Female,Employed,High school diploma (or equivalent),10,13,26.0
Somewhat difficult,Other,PC,14.0,1.0,Female,Student at college / university,High school diploma (or equivalent),19,27,6.0
,League of Legends,PC,25.0,1.0,Male,Employed,Bachelor (or equivalent),0,33,3.0
,Other,PC,10.0,2.0,Male,Student at college / university,High school diploma (or equivalent),0,31,23.0
Somewhat difficult,Other,"Console (PS, Xbox, ...)",25.0,1.0,Male,Student at school,High school diploma (or equivalent),3,26,29.0
Not difficult at all,Other,PC,30.0,1.0,Male,Employed,High school diploma (or equivalent),2,13,33.0
Somewhat difficult,Other,PC,14.0,3.0,Male,Student at college / university,High school diploma (or equivalent),8,28,30.0
Not difficult at all,Other,"Console (PS, Xbox, ...)",4.0,1.0,Female,Unemployed / between jobs,Bachelor (or equivalent),4,15,36.0
Not difficult at all,Other,PC,20.0,1.0,Male,Employed,Bachelor (or equivalent),1,19,8.0
Somewhat difficult,Skyrim,PC,10.0,1.0,Male,Unemployed / between jobs,High school diploma (or equivalent),8,6,36.0
Not difficult at all,Other,"Console (PS, Xbox, ...)",6.0,2.0,Male,Employed,Bachelor (or equivalent),0,31,11.0
Not difficult at all,Other,"Console (PS, Xbox, ...)",7.0,1.0,Female,Employed,High school diploma (or equivalent),2,16,26.0
Extremely difficult,Starcraft 2,PC,60.0,3.0,Male,Student at college / university,High school diploma (or equivalent),15,9,37.0
Not difficult at all,Other,PC,10.0,2.0,Male,Employed,"Ph.D., Psy. D., MD (or equivalent)",3,31,5.0
,World of Warcraft,PC,21.0,1.0,Male,Employed,Bachelor (or equivalent),0,35,0.0
Somewhat difficult,Other,PC,20.0,1.0,Female,Unemployed / between jobs,Bachelor (or equivalent),10,8,47.0
Somewhat difficult,Other,PC,21.0,5.0,Male,Unemployed / between jobs,Master (or equivalent),4,7,20.0
Not difficult at all,Skyrim,PC,20.0,3.0,Female,Student at college / university,High school diploma (or equivalent),0,16,39.0
Somewhat difficult,League of Legends,PC,5.0,3.0,Male,Employed,Bachelor (or equivalent),5,26,31.0
Not difficult at all,Other,"Console (PS, Xbox, ...)",40.0,1.0,Male,Student at college / university,High school diploma (or equivalent),4,24,15.0
Not difficult at all,Other,PC,6.0,3.0,Male,Student at school,,1,25,12.0
Not difficult at all,Other,PC,9.0,2.0,Male,Student at school,,6,16,14.0
Extremely difficult,Other,PC,18.0,2.0,Male,Student at college / university,High school diploma (or equivalent),15,8,46.0
Not difficult at all,Other,PC,8.0,1.0,Male,Employed,Bachelor (or equivalent),2,27,11.0
,League of Legends,PC,9.0,4.0,Female,Employed,High school diploma (or equivalent),0,26,39.0
Somewhat difficult,Starcraft 2,PC,6.0,1.0,Female,Unemployed / between jobs,High school diploma (or equivalent),2,25,60.0
Not difficult at all,League of Legends,PC,7.0,2.0,Male,Student at college / university,Master (or equivalent),1,21,29.0
Somewhat difficult,Other,PC,18.0,1.0,Female,Student at college / university,High school diploma (or equivalent),4,24,
Somewhat difficult,Other,"Console (PS, Xbox, ...)",18.0,3.0,Male,Student at college / university,High school diploma (or equivalent),14,13,13.0
Somewhat difficult,Other,"Console (PS, Xbox, ...)",10.0,1.0,Female,Student at college / university,High school diploma (or equivalent),7,11,41.0
Somewhat difficult,Other,PC,20.0,3.0,Male,Student at college / university,Master (or equivalent),5,27,8.0
Very difficult,Other,PC,10.0,2.0,Female,Student at college / university,High school diploma (or equivalent),14,17,24.0
Somewhat difficult,Other,PC,10.0,1.0,Male,Student at school,High school diploma (or equivalent),4,15,9.0
Not difficult at all,Other,PC,12.0,2.0,Male,Employed,Bachelor (or equivalent),0,23,1.0
Somewhat difficult,Counter Strike,PC,7.0,2.0,Male,Student at college / university,High school diploma (or equivalent),7,15,17.0
Somewhat difficult,Other,"Console (PS, Xbox, ...)",5.0,3.0,Male,Student at college / university,Bachelor (or equivalent),13,28,3.0
Somewhat difficult,Counter Strike,PC,,3.0,Male,Student at college / university,High school diploma (or equivalent),8,14,38.0
Somewhat difficult,Other,PC,4.0,2.0,Male,Student at school,High school diploma (or equivalent),5,22,30.0
Somewhat difficult,Other,PC,20.0,1.0,Female,Employed,Bachelor (or equivalent),7,20,24.0
Very difficult,League of Legends,PC,25.0,3.0,Male,Student at college / university,High school diploma (or equivalent),11,10,17.0
Somewhat difficult,Other,"Console (PS, Xbox, ...)",18.0,2.0,Male,Student at college / university,,4,16,20.0
Not difficult at all,Other,PC,15.0,2.0,Male,Student at college / university,High school diploma (or equivalent),2,20,12.0
Not difficult at all,League of Legends,PC,10.0,3.0,Male,Unemployed / between jobs,Bachelor (or equivalent),1,13,11.0
Somewhat difficult,Other,PC,30.0,2.0,Female,Student at college / university,High school diploma (or equivalent),2,28,20.0
Somewhat difficult,Other,"Console (PS, Xbox, ...)",11.0,2.0,Female,Student at college / university,High school diploma (or equivalent),8,28,17.0
Very difficult,Other,PC,0.0,2.0,Male,Student at college / university,High school diploma (or equivalent),10,8,44.0
Not difficult at all,Counter Strike,PC,30.0,2.0,Male,Student at school,,0,26,
Not difficult at all,Other,"Console (PS, Xbox, ...)",10.0,5.0,Male,Student at college / university,Master (or equivalent),0,31,6.0
Somewhat difficult,Other,PC,20.0,1.0,Male,Unemployed / between jobs,High school diploma (or equivalent),6,7,13.0
Somewhat difficult,Other,PC,0.0,2.0,Male,Student at college / university,,9,20,27.0
Somewhat difficult,Other,PC,40.0,1.0,Male,Employed,Bachelor (or equivalent),0,30,35.0
Not difficult at all,Counter Strike,PC,18.0,1.0,Male,Student at college / university,High school diploma (or equivalent),4,25,4.0
Somewhat difficult,World of Warcraft,PC,5.0,1.0,Female,Employed,Master (or equivalent),9,27,38.0
Very difficult,Other,"Console (PS, Xbox, ...)",25.0,2.0,Female,Student at school,,15,17,32.0
Very difficult,Other,PC,1.0,4.0,Female,Student at college / university,High school diploma (or equivalent),18,6,64.0
Very difficult,Other,"Console (PS, Xbox, ...)",14.0,5.0,Male,Student at college / university,Bachelor (or equivalent),19,10,64.0
Not difficult at all,Other,PC,2.0,1.0,Female,Student at college / university,Bachelor (or equivalent),6,28,25.0
Somewhat difficult,Destiny,"Console (PS, Xbox, ...)",12.0,2.0,Male,Student at college / university,High school diploma (or equivalent),3,24,11.0
,Other,PC,40.0,1.0,Male,Student at school,High school diploma (or equivalent),0,31,
Not difficult at all,Other,PC,10.0,3.0,Male,Employed,High school diploma (or equivalent),7,16,54.0
Not difficult at all,Other,PC,10.0,1.0,Male,Student at college / university,High school diploma (or equivalent),0,25,68.0
Not difficult at all,Counter Strike,PC,7.0,3.0,Male,Student at college / university,High school diploma (or equivalent),10,35,21.0
Not difficult at all,Other,PC,25.0,2.0,Male,Employed,Bachelor (or equivalent),1,31,3.0
Extremely difficult,Other,PC,10.0,1.0,Male,Student at college / university,Bachelor (or equivalent),16,14,61.0
Not difficult at all,League of Legends,PC,25.0,5.0,Male,Student at school,High school diploma (or equivalent),19,29,47.0
Somewhat difficult,Other,PC,25.0,1.0,Male,Student at college / university,High school diploma (or equivalent),11,16,15.0
Not difficult at all,Other,PC,10.0,2.0,Male,Student at college / university,Bachelor (or equivalent),0,27,36.0
Somewhat difficult,Other,PC,30.0,4.0,Male,Student at college / university,Bachelor (or equivalent),4,22,0.0
Somewhat difficult,League of Legends,PC,20.0,2.0,Male,Student at college / university,High school diploma (or equivalent),8,17,25.0
Very difficult,League of Legends,PC,40.0,4.0,Male,Student at school,High school diploma (or equivalent),21,12,45.0
,Other,PC,5.0,1.0,Male,Student at college / university,High school diploma (or equivalent),0,25,13.0
Somewhat difficult,Other,"Console (PS, Xbox, ...)",25.0,1.0,Female,Unemployed / between jobs,Master (or equivalent),10,22,38.0
Not difficult at all,Other,"Console (PS, Xbox, ...)",10.0,2.0,Male,Student at college / university,High school diploma (or equivalent),9,24,5.0
Not difficult at all,Other,Smartphone / Tablet,5.0,4.0,Male,Employed,Master (or equivalent),0,29,7.0
Very difficult,League of Legends,PC,10.0,1.0,Female,Employed,High school diploma (or equivalent),18,15,30.0
Somewhat difficult,Other,PC,20.0,4.0,Female,Student at college / university,High school diploma (or equivalent),7,20,30.0
Not difficult at all,Diablo 3,PC,45.0,2.0,Male,Student at college / university,High school diploma (or equivalent),3,25,30.0
Somewhat difficult,Other,PC,11.0,3.0,Male,Employed,Master (or equivalent),8,30,30.0
